"pmid","article_title","journal_issue_id"
"1","Formate assay in body fluids: application in methanol poisoning.",1
"2","Delineation of the intimate details of the backbone conformation of pyridine nucleotide coenzymes in aqueous solution.",2
"3","Metal substitutions incarbonic anhydrase: a halide ion probe study.",3
"4","Effect of chloroquine on cultured fibroblasts: release of lysosomal hydrolases and inhibition of their uptake.",2
"5","Atomic models for the polypeptide backbones of myohemerythrin and hemerythrin.",2
"6","Studies of oxygen binding energy to hemoglobin molecule.",3
"7","Maturation of the adrenal medulla--IV. Effects of morphine.",4
"8","Comparison between procaine and isocarboxazid metabolism in vitro by a liver microsomal amidase-esterase.",4
"9","Radiochemical assay of glutathione S-epoxide transferase and its enhancement by phenobarbital in rat liver in vivo.",5
"10","Digitoxin metabolism by rat liver microsomes.",6
"11","Identification of adenylate cyclase-coupled beta-adrenergic receptors with radiolabeled beta-adrenergic antagonists.",7
"12","The effect of adrenaline and of alpha- and beta-adrenergic blocking agents on ATP concentration and on incorporation of 32Pi into ATP in rat fat cells.",7
"13","Action of propranolol on mitochondrial functions--effects on energized ion fluxes in the presence of valinomycin.",7
"14","Malathion A and B esterases of mouse liver-I.",7
"15","Increase in acetyl CoA synthetase activity after phenobarbital treatment.",7
"16","Inhibition of aldehyde reductase by acidic metabolites of the biogenic amines.",7
"17","Effects of 5,6-dihydroxytryptamine on tyrosine-hydroxylase activity in central catecholaminergic neurons of the rat.",7
"18","Inhibition of aldehyde reductase isoenzymes in human and rat brain.",8
"19","Antidepressant drugs affect dopamine uptake.",8
"20","Aggregation of blood platelets by adrenaline and its uptake.",8
"21","[Biochemical studies on camomile components/III. In vitro studies about the antipeptic activity of (--)-alpha-bisabolol (author's transl)].",9
"22","[Demonstration of tumor inhibiting properties of a strongly immunostimulating low-molecular weight substance. Comparative studies with ifosfamide on the immuno-labile DS carcinosarcoma. Stimulation of the autoimmune activity for approx. 20 days by BA 1, a N-(2-cyanoethylene)-urea. Novel prophylactic possibilities].",9
"23","Effect of etafenone on total and regional myocardial blood flow.",9
"24","Influence of a new virostatic compound on the induction of enzymes in rat liver.",9
"25","Pharmacological properties of new neuroleptic compounds.",9
"26","[Studies on the action of an anticholinergic agent in combination with a tranquilizer on gastric juice secretion in man].",9
"27","Editorial: ""Old lamps for new"".",10
"28","Letter: Duration of action of AH8165.",11
"29","Lorazepam in sexual disorders.",12
"30","Lysosomal hydrolases of the epidermis. I. Glycosidases.",13
"31","Lysosomal hydrolases of the epidermis. 2. Ester hydrolases.",14
"32","A serum haemagglutinating property dependent upon polycarboxyl groups.",15
"33","Effect of human erythrocyte stromata on complement activation.",16
"34","Determinants of intracellular pH in the erythrocyte.",17
"35","The effect of o-salicylate upon pentose phosphate pathway activity in normal and G6PD-deficient red cells.",18
"36","The effects of processing of barley-based supplements on rumen pH, rate of digestion of voluntary intake of dried grass in sheep.",19
"37","Poly(8-aminoguanylic acid): formation of ordered self-structures and interaction with poly(cytidylic acid).",20
"38","Effect of pH on substrate and inhibitor kinetic constants of human liver alanine aminopeptidase. Evidence for two ionizable active center groups.",20
"39","Formation of transient complexes in the glutamate dehydrogenase catalyzed reaction.",20
"40","Human brain and placental choline acetyltransferase: purification and properties.",20
"41","Stabilization of the globular structure of ferricytochrome c by chloride in acidic solvents.",20
"42","A competitive labeling method for the determination of the chemical properties of solitary functional groups in proteins.",20
"43","Modification of arginine and lysine in proteins with 2,4-pentanedione.",20
"44","The origin of the alkaline inactivation of pepsinogen.",21
"45","Bovine liver dihydrofolate reductase: purification and properties of the enzyme.",21
"46","Purification and properties of Escherichia coli dihydrofolate reductase.",21
"47","The influence of pH on the interaction of inhibitors with triosephosphate isomerase and determination of the pKa of the active-site carboxyl group.",21
"48","Monoanion inhibition and 35Cl nuclear magnetic resonance studies of renal dipeptidase.",21
"49","The interaction of bovine erythrocyte superoxide dismutase with hydrogen peroxide: inactivation of the enzyme.",21
"50","Circular dichroism and fluorescence studies of homogeneous antibodies to type III pneumococcal polysaccharide.",21
"51","Conformational changes induced in a homogeneous anti-type III pneumococcal antibody by oligosaccharides of increasing size.",21
"52","Evidence of the involvement of a 50S ribosomal protein in several active sites.",21
"53","The interaction of phospholipase A2 with micellar interfaces. The role of the N-terminal region.",22
"54","Phospholipase A2 as a probe of phospholipid distribution in erythrocyte membranes. Factors influencing the apparent specificity of the reaction.",22
"55","Subunit interactions in yeast glyceraldehyde-3-phosphate dehydrogenase.",22
"56","Kinetic light scattering studies on the dissociation of hemoglobin from Lumbricus terrestris.",22
"57","The reversible reduction of horse metmyoglobin by the iron(II) complex of trans-1,2-diaminocyclohexane-N,N,N,n-tetraacetate.",22
"58","Constitution and properties of axonal membranes of crustacean nerves.",22
