"pmid","aid"
"1",1
"1",2
"1",3
"1",4
"2",5
"2",6
"3",7
"3",8
"4",9
"4",10
"4",11
"5",12
"5",13
"6",14
"6",15
"6",16
"7",17
"7",18
"8",19
"8",20
"9",21
"9",22
"10",23
"10",24
"10",25
"11",26
"12",27
"13",28
"13",29
"14",30
"14",31
"15",32
"15",33
"15",34
"15",35
"16",36
"16",37
"17",38
"17",39
"17",40
"17",41
"18",42
"18",43
"18",44
"19",45
"19",46
"19",47
"20",48
"20",49
"21",50
"21",51
"22",52
"22",53
"23",54
"23",55
"24",56
"24",57
"24",58
"25",59
"25",60
"25",61
"25",62
"26",63
"26",64
"26",65
"27",66
"28",67
"28",68
"29",69
"29",70
"30",71
"30",72
"31",71
"31",72
"32",73
"32",74
"32",75
"32",76
"32",77
"33",78
"33",79
"33",80
"33",81
"34",82
"34",83
"35",84
"35",85
"36",86
"36",87
"37",88
"37",89
"37",90
"38",91
"38",92
"39",93
"40",94
"40",95
"40",96
"41",97
"41",98
"42",99
"42",100
"43",101
"43",102
"44",103
"45",104
"45",105
"45",106
"46",107
"46",108
"46",109
"46",110
"46",111
"47",112
"47",113
"47",114
"47",115
"48",116
"48",117
"48",118
"49",119
"49",120
"50",121
"50",122
"50",123
"50",124
"51",121
"51",122
"51",125
"51",126
"51",124
"51",127
"52",128
"53",129
"53",130
"53",131
"53",132
"54",133
"54",134
"54",135
"54",136
"54",137
"55",138
"55",139
"55",140
"56",141
"56",142
"56",143
"57",144
"57",145
"57",146
"58",147
"58",148
"58",149
"58",150
"58",151
"59",152
"59",153
"59",154
"60",155
"60",156
"60",157
"61",158
"61",159
"62",160
"62",161
"62",162
"63",163
"63",164
"63",165
"64",166
"64",167
"65",168
"65",169
"66",170
"66",171
"67",172
"67",173
"68",174
"68",175
"69",176
"69",177
"70",178
"70",179
"70",180
"70",181
"71",182
"71",183
"72",184
"72",185
"72",186
"73",187
"73",188
"73",189
"73",190
"73",191
"74",192
"74",193
"75",194
"75",195
"76",196
"76",197
"77",198
"77",199
"78",200
"78",201
"79",202
"79",203
"79",204
"79",205
"79",206
"79",207
"80",208
"80",209
"81",210
"81",211
"81",212
"82",213
"82",214
"83",215
"83",216
"83",217
"83",218
"83",219
"84",220
"84",221
"84",222
"85",223
"85",224
"86",225
"86",226
"87",227
"87",228
"87",229
"87",230
"87",231
"88",232
"88",233
"89",234
"89",235
"90",236
"91",237
"91",238
"91",239
"91",240
"92",241
"92",242
"92",243
"93",244
"93",245
"93",246
"93",247
"94",248
"94",249
"94",250
"94",251
"96",252
"96",253
"95",254
"95",255
"95",256
"95",257
"95",258
"97",259
"98",260
"99",261
"99",262
"99",263
"99",264
"99",265
"100",266
"100",267
"100",268
"101",269
"101",270
"101",271
"101",272
"101",273
"101",274
"101",275
"101",276
"101",277
"102",278
"102",279
"102",280
"102",281
"103",282
"103",283
"104",284
"104",285
"105",286
"105",287
"106",288
"107",289
"107",290
"107",291
"108",292
"109",293
"110",294
"110",295
"112",296
"113",297
"113",298
"111",299
"114",300
"114",301
"115",302
"115",303
"116",304
"116",305
"117",306
"118",307
"118",308
"119",309
"119",310
"119",311
"119",312
"119",313
"120",314
"120",315
"120",316
"121",317
"121",318
"121",319
"122",320
"122",321
"122",322
"123",323
"123",324
"123",325
"123",326
"124",327
"124",328
"124",329
"124",330
"124",331
"124",233
"125",332
"125",333
"126",334
"126",335
"127",336
"128",337
"128",338
"128",339
"128",340
"128",341
"129",342
"129",343
"129",344
"130",345
"130",346
"130",347
"130",348
"131",349
"132",350
"132",351
"132",352
"133",353
"133",354
"133",355
"134",356
"134",357
"134",358
"135",359
"135",360
"135",361
"136",362
"136",363
"136",364
"136",365
"137",366
"137",367
"138",368
"139",369
"140",370
"141",371
"141",372
"142",373
"142",374
"143",375
"144",376
"144",377
"144",378
"145",379
"145",380
"146",381
"146",382
"146",383
"146",384
"146",385
"147",386
"147",387
"148",388
"148",389
"148",390
"149",388
"149",390
"150",391
"151",392
"151",393
"151",394
"151",395
"152",396
"152",397
"152",398
"152",399
"153",400
"153",401
"153",402
"154",403
"154",404
"155",405
"155",406
"156",407
"156",408
"156",409
"157",409
"157",410
"157",407
"158",411
"158",412
"158",413
"158",414
"159",415
"159",416
"159",417
"160",418
"160",419
"161",420
"161",421
"161",422
"162",423
"162",424
"162",425
"163",426
"163",427
"164",428
"164",429
"165",430
"165",431
"165",432
"165",433
"166",434
"167",435
"169",436
"169",437
"169",438
"170",84
"170",85
"168",439
"168",440
"168",441
"171",442
"171",443
"171",444
"171",445
"171",446
"171",447
"172",448
"172",449
"172",450
"173",451
"173",452
"174",453
"174",454
"175",455
"176",456
"176",457
"177",455
"178",458
"178",459
"179",460
"180",461
"181",462
"181",463
"182",464
"182",465
"183",466
"183",467
"183",468
"184",469
"185",470
"185",471
"186",472
"186",473
"186",474
"186",475
"187",476
"187",477
"187",478
"188",479
"188",480
"189",481
"190",482
"190",483
"191",484
"192",485
"193",485
"194",486
"194",487
"194",488
"194",489
"195",490
"195",491
"195",492
"195",493
"195",494
"196",495
"196",496
"197",497
"197",498
"198",499
"198",500
"199",501
"200",502
"200",503
"201",504
"201",505
"202",506
"202",507
"203",508
"203",509
"204",510
"204",511
"205",512
"205",513
"206",514
"207",515
"207",516
"207",517
"207",518
"208",519
"209",520
"209",521
"211",522
"211",523
"211",524
"211",525
"211",526
"212",527
"212",524
"210",528
"210",529
"210",530
"213",524
"213",525
"214",531
"214",532
"215",533
"215",534
"215",535
"216",536
"217",537
"218",538
"218",539
"218",540
"218",541
"218",542
"219",336
"220",543
"220",544
"220",545
"222",546
"221",547
"221",548
"223",549
"223",550
"223",551
"224",552
"225",553
"225",554
"226",555
"226",556
"226",557
"226",558
"226",559
"227",560
"227",561
"227",562
"227",563
"228",564
"228",565
"228",566
"229",567
"230",568
"230",569
"230",570
"231",571
"232",572
"232",573
"232",574
"233",574
"233",575
"233",572
"233",576
"233",577
"233",578
"233",579
"233",580
"233",581
"234",582
"234",583
"234",584
"235",585
"236",586
"236",587
"236",588
"236",589
"236",590
"236",591
"236",592
"237",593
"237",594
"237",595
"238",596
"238",597
"238",598
"239",599
"240",600
"240",601
"240",602
"240",603
"241",604
"241",605
"241",606
"242",607
"242",608
"243",609
"243",610
"244",611
"245",612
"245",613
"246",614
"246",615
"247",616
"248",617
"249",618
"249",619
"249",620
"250",621
"250",622
"251",623
"251",624
"253",625
"252",626
"254",627
"255",628
"256",629
"256",630
"257",631
"257",632
"258",633
"259",634
"259",635
"259",636
"259",637
"259",638
"259",639
"260",640
"260",641
"260",642
"261",643
"262",644
"262",645
"263",646
"263",647
"264",648
"264",649
"265",650
"265",651
"265",652
"266",653
"266",654
"266",655
"267",656
"268",657
"268",658
"268",659
"269",660
"269",661
"270",662
"270",663
"271",662
"271",663
"272",664
"272",665
"273",666
"273",667
"273",668
"274",669
"274",670
"275",671
"275",672
"275",673
"275",674
"276",675
"276",676
"276",677
"276",678
"276",679
"276",680
"277",681
"278",682
"278",232
"278",683
"279",684
"280",685
"281",686
"282",686
"283",687
"283",688
"284",689
"285",690
"285",691
"285",692
"286",693
"286",694
"286",695
"287",696
"287",697
"287",698
"287",699
"288",700
"288",701
"289",702
"289",703
"290",704
"290",705
"291",706
"292",707
"293",708
"294",709
"295",710
"296",710
"296",711
"297",712
"297",713
"298",714
"298",715
"299",716
"300",717
"301",718
"302",719
"303",720
"304",721
"304",722
"304",723
"304",724
"304",725
"304",726
"305",727
"305",728
"306",729
"307",730
"308",731
"308",732
"308",733
"309",734
"310",735
"310",736
"310",737
"310",738
"311",739
"312",720
"313",740
"313",741
"313",742
"314",719
"316",743
"316",744
"315",745
"317",746
"318",747
"320",748
"319",721
"319",722
"319",723
"319",724
"319",725
"319",726
"321",749
"321",750
"322",751
"322",752
"322",753
"322",754
"323",755
"324",756
"324",757
"324",758
"324",759
"324",760
"324",761
"325",762
"326",763
"327",764
"327",765
"328",766
"328",767
"329",768
"330",769
"330",770
"331",771
"332",772
"332",773
"333",774
"333",775
"333",776
"334",777
"334",778
"335",779
"336",780
"336",781
"336",782
"337",783
"337",784
"337",785
"337",786
"337",787
"338",788
"338",789
"338",790
"338",791
"338",792
"339",793
"339",794
"339",795
"340",796
"341",797
"342",798
"342",799
"342",800
"343",801
"343",802
"343",803
"344",804
"344",805
"345",806
"345",807
"346",808
"346",809
"346",810
"346",811
"346",812
"347",813
"350",814
"350",815
"348",816
"348",817
"348",818
"348",819
"349",820
"349",821
"351",822
"351",823
"351",824
"351",825
"351",826
"351",827
"351",828
"351",829
"351",830
"351",831
"352",832
"352",833
"352",834
"352",835
"352",836
"353",837
"353",838
"353",839
"354",840
"354",841
"355",842
"355",843
"355",844
"356",845
"356",846
"357",847
"357",848
"357",849
"357",850
"358",851
"358",852
"358",853
"359",854
"359",855
"359",856
"359",857
"360",858
"360",859
"361",860
"362",861
"362",862
"363",863
"363",862
"364",864
"364",865
"365",866
"365",867
"366",868
"366",869
"367",870
"367",871
"368",872
"368",873
"369",874
"369",873
"370",875
"370",876
"370",877
"370",878
"371",879
"371",880
"372",881
"372",882
"373",883
"373",884
"373",885
"373",886
"373",887
"374",888
"374",889
"374",890
"374",891
"374",892
"375",893
"375",894
"375",895
"375",896
"375",897
"376",898
"376",252
"376",899
"377",900
"377",901
"378",902
"379",903
"379",904
"379",905
"379",906
"380",907
"380",908
"380",909
"380",910
"380",911
"381",912
"381",913
"381",914
"381",915
"382",916
"382",917
"382",918
"383",887
"383",919
"384",920
"384",921
"384",922
"385",923
"385",924
"386",925
"386",924
"387",926
"387",927
"388",928
"388",929
"389",930
"389",931
"389",932
"389",933
"389",934
"389",935
"389",936
"389",937
"390",938
"390",939
"391",940
"391",941
"391",942
"391",943
"391",944
"391",945
"391",946
"392",947
"392",948
"393",589
"393",949
"393",950
"393",951
"394",952
"394",953
"395",954
"395",955
"396",956
"397",957
"397",958
"398",959
"398",960
"399",961
"399",962
"399",963
"399",964
"399",965
"400",966
"400",967
"401",968
"401",969
"401",970
"402",971
"402",972
"403",973
"403",974
"404",975
"404",976
"404",977
"404",978
"404",979
"404",980
"405",981
"405",982
"406",983
"406",984
"406",985
"407",986
"407",987
"407",988
"407",989
"408",990
"408",991
"408",992
"409",993
"409",994
"410",995
"410",996
"411",997
"411",998
"411",999
"412",1000
"412",1001
"413",1002
"413",1003
"413",1004
"414",1005
"414",1006
"415",1007
"415",1008
"415",1009
"415",1010
"415",1011
"416",1012
"417",1013
"417",1014
"417",1015
"417",1016
"418",1017
"419",1018
"419",1019
"419",1020
"420",1021
"420",1022
"421",1023
"421",1024
"421",1025
"421",1026
"421",1027
"422",1028
"422",1029
"423",1030
"423",1031
"423",1032
"425",1033
"424",1034
"424",1035
"424",1036
"426",1037
"426",1038
"427",1039
"427",1040
"428",1041
"428",1042
"429",1043
"429",1044
"431",1045
"431",1046
"431",1047
"431",1048
"430",1049
"430",1050
"430",1051
"432",1052
"432",1053
"433",1054
"433",1055
"434",1056
"434",1057
"435",1058
"435",1059
"435",1060
"437",1061
"437",1062
"437",1063
"436",1064
"436",1065
"436",1066
"436",1067
"438",1068
"438",1069
"438",1070
"438",1071
"439",1072
"439",1073
"439",1074
"440",1075
"440",1076
"441",1077
"441",1078
"442",1079
"443",1080
"444",1081
"444",1082
"444",1083
"446",1084
"445",1085
"447",1086
"447",1087
"447",1088
"448",1089
"449",1090
"450",1091
"450",1092
"450",1093
"451",589
"451",949
"451",950
"452",1094
"453",1095
"454",1096
"454",1097
"455",1098
"456",1099
"456",1100
"457",1101
"457",1102
"457",1103
"457",1104
"458",1105
"458",1106
"458",1107
"459",1108
"459",1109
"459",1110
"460",1111
"460",1112
"461",1113
"461",1114
"461",1115
"462",1116
"462",1117
"463",1118
"463",1119
"463",1120
"464",1121
"464",1122
"464",1123
"464",1124
"465",1125
"465",1126
"465",1127
"465",1128
"465",1129
"466",1130
"466",1131
"466",1132
"467",1133
"467",1134
"467",1135
"468",1136
"468",1137
"469",1138
"469",1139
"469",1140
"469",1141
"469",1142
"470",1143
"470",1144
"471",1145
"471",1146
"471",1147
"471",1148
"471",1149
"472",1150
"472",1151
"472",1152
"473",1153
"473",1154
"474",1155
"474",1156
"474",1157
"475",1158
"475",1159
"475",1160
"476",1161
"476",1162
"477",1163
"477",1164
"477",1165
"477",1166
"477",1167
"478",1168
"478",1169
"478",1170
"479",1171
"479",1172
"479",1173
"479",1174
"479",1175
"480",1176
"480",1177
"480",1178
"481",1179
"481",1180
"481",1181
"481",1182
"481",1183
"481",1184
"482",1185
"482",1186
"482",1187
"482",1188
"483",1189
"483",1183
"483",1180
"484",1190
"484",1191
"484",1192
"484",1193
"485",1194
"485",1195
"486",1196
"486",1183
"487",1179
"487",1197
"488",1198
"488",1199
"488",1200
"489",1201
"489",1202
"489",1203
"490",1204
"490",1205
"490",1206
"491",1207
"491",1208
"491",1209
"492",1210
"492",1211
"493",1210
"493",1211
"494",1212
"494",1213
"495",1214
"495",1215
