"aid","author_last_name","author_fore_name"
1,"Makar","A B"
2,"McMartin","K E"
3,"Palese","M"
4,"Tephly","T R"
5,"Bose","K S"
6,"Sarma","R H"
7,"Smith","R J"
8,"Bryant","R G"
9,"Wiesmann","U N"
10,"DiDonato","S"
11,"Herschkowitz","N N"
12,"Hendrickson","W A"
13,"Ward","K B"
14,"Chow","Y W"
15,"Pietranico","R"
16,"Mukerji","A"
17,"Anderson","T R"
18,"Slotkin","T A"
19,"Moroi","K"
20,"Sato","T"
21,"Marniemi","J"
22,"Parkki","M G"
23,"Schmoldt","A"
24,"Benthe","H F"
25,"Haberland","G"
26,"Lefkowitz","R J"
27,"Stein","J M"
28,"Järvisalo","J"
29,"Saris","N E"
30,"Bhagwat","V M"
31,"Ramachandran","B V"
32,"Akamatsu","N"
33,"Nakajima","H"
34,"Ono","M"
35,"Miura","Y"
36,"Turner","A J"
37,"Hick","P E"
38,"Renaud","B"
39,"Buda","M"
40,"Lewis","B D"
41,"Pujol","J F"
42,"Ris","M M"
43,"Deitrich","R A"
44,"Von Wartburg","J P"
45,"Halaris","A E"
46,"Belendiuk","K T"
47,"Freedman","D X"
48,"Barthel","W"
49,"Markwardt","F"
50,"Isaac","O"
51,"Thiemer","K"
52,"Ardenne","M"
53,"Reitnauer","P G"
54,"Flohr","H"
55,"Breull","W"
56,"Kröger","H"
57,"Donner","I"
58,"Skiello","G"
59,"Coscia","L"
60,"Causa","P"
61,"Giuliani","E"
62,"Nunziata","A"
63,"Scherberger","R R"
64,"Kaess","H"
65,"Brückner","S"
66,"Conway","C M"
67,"Thornton","J A"
68,"Harrison","M J"
69,"Maneksha","S"
70,"Harry","T V"
71,"Mier","P D"
72,"van den Hurk","J J"
73,"Beck","M L"
74,"Freihaut","B"
75,"Henry","R"
76,"Pierce","S"
77,"Bayer","W L"
78,"Corrocher","R"
79,"Tedesco","F"
80,"Rabusin","P"
81,"De Sandre","G"
82,"Warth","J"
83,"Desforges","J F"
84,"Worathumrong","N"
85,"Grimes","A J"
86,"Orskov","E R"
87,"Fraser","C"
88,"Hattori","M"
89,"Frazier","J"
90,"Miles","H T"
91,"Garner","C W"
92,"Behal","F J"
93,"Sanner","T"
94,"Roskoski","R"
95,"Lim","C T"
96,"Roskoski","L M"
97,"Stellwagen","E"
98,"Babul","J"
99,"Duggleby","R G"
100,"Kaplan","H"
101,"Gilbert","H F"
102,"O'Leary","M H"
103,"McPhie","P"
104,"Peterson","D L"
105,"Gleisner","J M"
106,"Blakley","R L"
107,"Baccanari","D"
108,"Phillips","A"
109,"Smith","S"
110,"Sinski","D"
111,"Burchall","J"
112,"Hartman","F C"
113,"LaMuraglia","G M"
114,"Tomozawa","Y"
115,"Wolfenden","R"
116,"Ferren","L G"
117,"Ward","R L"
118,"Campbell","B J"
119,"Hodgson","E K"
120,"Fridovich","I"
121,"Jaton","J C"
122,"Huser","H"
123,"Blatt","Y"
124,"Pecht","I"
125,"Braun","D G"
126,"Givol","D"
127,"Schlessinger","J"
128,"Fahnestock","S R"
129,"van Dam-Mieras","M C"
130,"Slotboom","A J"
131,"Pieterson","W A"
132,"de Haas","G H"
133,"Martin","J K"
134,"Luthra","M G"
135,"Wells","M A"
136,"Watts","R P"
137,"Hanahan","D J"
138,"Mockrin","S C"
139,"Byers","L D"
140,"Koshland","D E"
141,"Goss","D J"
142,"Parkhurst","L J"
143,"Görisch","H"
144,"Cassatt","J C"
145,"Marini","C P"
146,"Bender","J W"
147,"Balerna","M"
148,"Fosset","M"
149,"Chicheportiche","R"
150,"Romey","G"
151,"Lazdunski","M"
152,"Shanmugam","K T"
153,"Chan","I"
154,"Morandi","C"
155,"Butler","J"
156,"Jayson","G G"
157,"Swallow","A J"
158,"Haveman","J"
159,"Lavorel","J"
160,"Van Gorkom","H J"
161,"Pulles","M P"
162,"Wessels","J S"
163,"Galliard","T"
164,"Phillips","D R"
165,"Matthew","J A"
166,"Caras","I"
167,"Shapiro","B"
168,"Ali","S S"
169,"Elliott","W H"
170,"Koivula","T"
171,"Koivusalo","M"
172,"Fluck","R A"
173,"Jaffe","M J"
174,"Wan","H"
175,"Horvath","C"
176,"Tominaga","Y"
177,"Tsujisaka","Y"
