"journal_issue_id","citedMedium","volume","issue","publication_date","journal_sk"
1,"Print","13","2","1975-06-01",1
2,"Internet","66","4","1975-10-27",2
3,"Print","66","4","1975-10-27",2
4,"Internet","24","16","1975-08-15",3
5,"Print","24","17","1975-09-01",3
6,"Internet","24","17","1975-09-01",3
7,"Print","24","18","1975-09-15",3
8,"Print","24","20","1975-10-15",3
9,"Print","25","9","1975-09-01",4
10,"Print","47","8","1975-08-01",5
11,"Print","47","9","1975-09-01",5
12,"Print","29","7","1975-07-01",6
13,"Print","93","1","1975-07-01",7
14,"Print","93","4","1975-10-01",7
15,"Print","29","1","1975-01-01",8
16,"Print","29","2","1975-02-01",8
17,"Print","29","3","1975-03-01",8
18,"Print","30","2","1975-06-01",8
19,"Print","34","3","1975-11-01",9
20,"Print","14","23","1975-11-18",10
21,"Print","14","24","1975-12-02",10
22,"Print","14","25","1975-12-16",10
23,"Print","408","2","1975-11-11",11
24,"Print","408","3","1975-12-11",11
25,"Print","409","2","1975-11-21",11
26,"Print","410","1","1975-11-20",11
27,"Print","411","2","1975-12-05",11
28,"Print","412","1","1975-11-18",11
29,"Print","412","2","1975-12-15",11
30,"Print","413","1","1975-11-17",11
31,"Print","413","3","1975-12-16",11
32,"Print","20","4","1975-07-01",12
33,"Print","3","4","1975-10-01",13
34,"Print","","5","1975-01-01",14
35,"Print","11","6","1975-01-01",15
36,"Print","79","4","1975-04-01",16
37,"Print","14","4","1975-10-01",17
38,"Print","26","1","1975-01-01",18
39,"Print","26","2","1975-01-01",18
40,"Print","39","3","1975-05-01",19
41,"Print","28","3","1975-07-01",20
42,"Print","55","2","1975-10-01",21
43,"Print","11","1","1975-01-01",22
44,"Print","47","5","1975-10-01",23
45,"Print","62","10","1975-10-01",24
46,"Print","4","5990","1975-10-25",25
47,"Print","4","5993","1975-11-15",25
48,"Print","4","5994","1975-11-22",25
49,"Print","4","5995","1975-11-29",25
50,"Print","100","2","1975-12-19",26
51,"Print","100","3","1975-12-26",26
52,"Print","","26","1975-07-01",27
53,"Print","22","6","1975-11-01",28
54,"Print","10","4","1975-10-01",29
55,"Print","53","5","1975-10-01",30
56,"Print","21","10","1975-10-01",31
57,"Print","21","11","1975-11-01",31
58,"Print","35","12","1975-12-01",32
59,"Print","44","1","1975-10-01",33
