"journal_sk","journal_title","journal_iso_abbreviation"
1,"Biochemical medicine","Biochem Med"
2,"Biochemical and biophysical research communications","Biochem Biophys Res Commun"
3,"Biochemical pharmacology","Biochem Pharmacol"
4,"Arzneimittel-Forschung","Arzneimittelforschung"
5,"British journal of anaesthesia","Br J Anaesth"
6,"The British journal of clinical practice","Br J Clin Pract"
7,"The British journal of dermatology","Br J Dermatol"
8,"British journal of haematology","Br J Haematol"
9,"The British journal of nutrition","Br J Nutr"
10,"Biochemistry","Biochemistry"
11,"Biochimica et biophysica acta","Biochim Biophys Acta"
12,"Biofizika","Biofizika"
13,"Biophysical chemistry","Biophys Chem"
14,"Biotechnology and bioengineering symposium","Biotechnol Bioeng Symp"
15,"Birth defects original article series","Birth Defects Orig Artic Ser"
16,"Biulleten' eksperimental'noi biologii i meditsiny","Biull Eksp Biol Med"
17,"Bulletin of environmental contamination and toxicology","Bull Environ Contam Toxicol"
18,"Bulletin of the Institute of Maritime and Tropical Medicine in Gdynia","Bull Inst Marit Trop Med Gdynia"
19,"Bulletin of the Menninger Clinic","Bull Menninger Clin"
20,"British journal of plastic surgery","Br J Plast Surg"
21,"British journal of pharmacology","Br J Pharmacol"
22,"Bulletin de physio-pathologie respiratoire","Bull Physiopathol Respir (Nancy)"
23,"British journal of urology","Br J Urol"
24,"The British journal of surgery","Br J Surg"
25,"British medical journal","Br Med J"
26,"Brain research","Brain Res"
27,"Brookhaven symposia in biology","Brookhaven Symp Biol"
28,"Canadian Anaesthetists' Society journal","Can Anaesth Soc J"
29,"Canadian journal of ophthalmology. Journal canadien d'ophtalmologie","Can J Ophthalmol"
30,"Canadian journal of physiology and pharmacology","Can J Physiol Pharmacol"
31,"Canadian journal of microbiology","Can J Microbiol"
32,"Cancer research","Cancer Res"
33,"Carbohydrate research","Carbohydr Res"
34,"Cardiovascular clinics","Cardiovasc Clin"
35,"Casopis lekaru ceskych","Cas Lek Cesk"
36,"Cellular immunology","Cell Immunol"
37,"Chemico-biological interactions","Chem Biol Interact"
38,"Comptes rendus hebdomadaires des seances de l'Academie des sciences. Serie D: Sciences naturelles","C R Acad Hebd Seances Acad Sci D"
39,"Circulation research","Circ Res"
40,"Clinical biochemistry","Clin Biochem"
41,"Clinical chemistry","Clin Chem"
42,"Clinica chimica acta; international journal of clinical chemistry","Clin Chim Acta"
43,"Horumon to rinsho. Clinical endocrinology","Horumon To Rinsho"
44,"Clinical nephrology","Clin Nephrol"
45,"Clinical pediatrics","Clin Pediatr (Phila)"
46,"Clinical science and molecular medicine","Clin Sci Mol Med"
47,"Clinical orthopaedics and related research","Clin Orthop Relat Res"
48,"Comparative biochemistry and physiology. A, Comparative physiology","Comp Biochem Physiol A Comp Physiol"
